Annee;Pauvreté;carbone;Production brute d’électricité primaire (GWH);Production brute d’électricité primaire renouvelable (GWH);Production brute d’électricité nucléaire (GWH);Prix gaz fr;Prix electricite fr;Taux inflation;Smic;Revenu salarial annuel moyen;CPSO;Femmes;Hommes;Popu;Taux chomage;Age Median FR;Age Moyen Fr;Entreprises;Evolution Emploi total;Evolution Emploi salarié privé;Evolution Emploi salarié public;Evolution Emploi non salarié;Crimes pn;Crimes gendarmes
1970;8,77;;63110;57399;5711;;;;;;;;;;;;;;;;;;;
1971;;;58693;49364;9329;;;;;;;;;;;;;;;;;;;
1972;;;63955;49364;14591;;;;;;;;;;;;;;;;;;;
1973;;;62882;48131;14751;;;;;;;;;;;;;;;;;;;
1974;;;72342;57632;14710;;;;;;;;;;;;;;;;;;;
1975;9,17;;78885;60637;18248;;;;;;;;;;3,2;;;;;;;;;
1976;;;65049;49271;15778;;;;;;;;;;4;;;;;;;;;
1977;;;95013;77072;17941;;;;;;;;;;4,2;;;;;;;;;
1978;;;99760;69308;30452;;;;;;;;;;4,5;;;;;;;;;
1979;8,03;;107765;67805;39960;;;;;;;;;;5,1;;;;;;;;;
1980;;;131933;70682;61251;;;;;;;;;;5,5;;;;;;;;;
1981;;;178905;73579;105326;;;;;;;;;;6,2;;;;;;;;;
1982;;;180816;71897;108919;;;;;;;;;;7;;;;;;;;;
1983;;;215748;71487;144261;;;;;;;;;;7,3;;;;;;;;;
1984;7,71;;259372;68138;191234;;;;;;;;;;8,2;;;;;;;;;
1985;;;288366;64266;224100;;;;;;;;;;9,1;;;;;;;;;
1986;;;319435;65280;254155;;;;;;;;;;9;;;;;;;;;
1987;;;338455;72935;265520;;;;;;;;;;9,3;;;;;;;;;
1988;;;354301;78780;275521;;;;;;;;;;9;;;;;;;;;
1989;;;355091;51160;303931;;;;;;;;;;8,4;;;;;;;;;
1990;8,65;;371973;58322;313651;;;;4,7;;;29755;28241;57996,401;8,1;;;;0,6;0,8;0,3;-0,4;;
1991;;;393402;62062;331340;;;3,2;4,7;;;29905,363;28374,772;58280,135;7,9;33,7;36,9;;-0,2;2,2;-1,9;-0,5;;
1992;;;411545;73100;338445;;;2,4;4,7;;;30060,174;28511,063;58571,237;8,7;34,0;37,0;;-1,0;-0,7;0,3;-0,6;;
1993;;;436638;68450;368188;;;2,1;4,7;;;30210,659;28641,343;58852,002;9,6;34,3;37,2;;-0,8;-0,6;0,2;-0,5;;
1994;;;441559;81578;359981;;;1,6;4,7;;;30334,799;28735,278;59070,077;10,7;34,6;37,4;;1,0;1,1;0,3;-0,4;;
1995;;8,9;453935;76704;377231;30;129;1,8;5,53;;;30456,254;28824,323;59280,577;10,2;34,9;37,6;;0,9;1,1;0,1;-0,3;;
1996;9,18;;468117;70777;397340;31;132;2,0;5,53;19 344;;30575,122;28912,291;59487,413;10,2;35,2;37,8;;0,2;0,5;0,0;-0,3;;
1997;9,04;;463544;68060;395484;31;132;1,2;5,53;19 371;;30687,915;29003,262;59691,177;10,7;35,5;38,0;;1,2;1,3;0,2;-0,2;;
1998;9,1;;454199;66610;387589;33;127;0,6;5,53;19 436;;30804,16;29095,187;59899,347;10,3;35,8;38,2;;2,0;1,6;0,6;-0,2;;
1999;8,85;;471940;77640;394300;31;120;0,5;5,53;19 759;;30926,26;29196,405;60122,665;10,2;36,1;38,4;;2,6;2,1;0,5;0,0;;
2000;9,08;8,8;487680;72480;415200;29;117;1,7;6,31;19 805;;31142,35;29365,8;60508,15;9,1;36,3;38,6;;2,7;2,6;0,2;-0,2;;
2001;9,05;;500516;79440;421076;35;115;1,6;6,54;20 020;;31381,393;29560,017;60941,41;7,8;36,6;38,7;236,6;1,3;1,1;0,3;-0,1;;
2002;8,92;;503488;66728;436760;38;116;1,9;6,75;20 232;;31625,737;29759,333;61385,07;7,8;36,9;38,9;231,9;0,7;0,3;0,5;0,0;;
2003;8,8;;506345;65275;441070;38;116;2,1;7,01;20 423;;31866,686;29957,344;61824,03;8,4;37,1;39,0;239,9;0,0;0,0;0,1;0,0;;
2004;8,79;;514437;66196;448241;36;119;2,1;7,4;20 473;;32099,129;30151,933;62251,062;9;37,4;39,2;276,2;0,5;0,2;0,1;0,2;;
2005;8,9;8,5;509498;57969;451529;38;119;1,7;7,82;20 523;;32364,945;30365,592;62730,537;8,6;37,7;39,3;289,9;0,9;0,6;0,2;0,1;;
2006;9;;514333;64142;450191;45;119;1,7;8,15;20 573;;32616,073;30570,044;63186,117;9,2;37,9;39,5;304,5;1,4;1,0;0,3;0,1;;
2007;9,14;;507880;68150;439730;48;121;1,5;8,36;20 623;;32818,936;30781,754;63600,69;8,5;38,1;39,7;322,0;1,4;1,3;0,0;0,1;;
2008;9,1;;514015;74568;439447;52;121;2,8;8,61;20 948;;33003,572;30958,287;63961,859;7,2;38,3;39,8;365,2;-0,6;-0,6;-0,1;0,1;;
2009;9,2;;480224;70488;409736;54;120;0,1;8,77;20 989;;33178,655;31125,845;64304,5;8,6;38,6;40,0;401,3;-0,9;-1,0;0,1;0,0;;
2010;9,7;7,5;506756;78237;428519;52;128;1,5;8,86;21 220;;33333,407;31279,532;64612,939;9,4;38,8;40,1;643,4;0,6;0,1;0,0;0,4;;
2011;9,95;7,1;507374;64991;442383;57;138;2,1;9,02;21 075;;33492,443;31440,957;64933,4;9,2;39,0;40,3;608,6;0,5;0,3;-0,1;0,3;;
2012;9,72;7,1;;;;63;139;2,0;9,31;21 003;;33653,167;31588,074;65241,241;9,5;39,3;40,5;574,1;0,1;-0,4;0,1;0,4;2 398 494;1 078 807
2013;9,56;7,1;;;;67;152;0,9;9,43;20 961;21 208;33809,331;31755,425;65564,756;10,3;39,6;40,6;562,2;0,7;0,0;0,3;0,4;2 389 137;1 133 482
2014;9,73;6,6;;;;70;158;0,5;9,53;;21 110;34102,746;32028,127;66130,873;10,1;39,7;40,7;568,9;0,0;-0,1;0,2;0,0;2 406 438;1 168 464
2015;9,87;6,6;;;;70;167;0,0;9,61;;21 287;34265,486;32156,983;66422,469;10,3;40,0;40,9;574,5;0,4;0,3;0,0;0,0;2 411 128;1 167 360
2016;9,96;6,6;;;;65;168;0,2;9,67;;21 414;34372,558;32230,087;66602,645;10,2;40,2;41,1;578,0;0,7;0,6;0,1;0,0;2 381 616;1 168 924
2017;9,89;6,6;;;;63;170;1,0;9,76;;21 592;34477,222;32297,26;66774,482;9,6;40,4;41,3;615,7;1,2;1,3;-0,1;0,1;2 463 514;1 197 046
2018;10,3;6,4;;;;66;174;1,8;9,88;;21 558;34594,401;32397,758;66992,159;9,3;40,6;41,5;682,2;0,8;0,6;-0,1;0,2;2 469 423;1 201 787
2019;;6,2;;;;73;177;1,1;10,03;;21 588;34722,069;32535,913;67257,982;8,8;40,8;41,7;782,9;1,7;1,3;0,1;0,3;2 539 851;1 237 975
2020;;5,6;;;;72;189;0,5;10,15;;21 787;34812,046;32629,804;67441,85;7,9;40,9;41,9;852,6;0,0;-0,3;0,1;0,2;;
2021;;6;;;;69;194;1,6;10,31;;;34911,489;32723,635;67635,124;8,2;41,1;42,0;967,0;3,9;3,0;0,1;0,8;;
2022;;;;;;;;5,2;10,85;;;35020,367;32822,224;67842,591;7,4;41,2;42,2;(r) 1 048,3;;;;;;
2023;;;;;;;;;;;;35122,214;32920,377;68042,591;7,1;41,4;42,4;1 060,9;;;;;;
