Annee,Tour,Code Departement,Libelle Departement,Circonscription,Inscrits,Votants,Exprimes,Blancs et nuls,Voix_x,Nuance,Positionnement,Pauvreté,carbone,Production brute d’électricité primaire (GWH),Production brute d’électricité primaire renouvelable (GWH),Production brute d’électricité nucléaire (GWH),Prix gaz fr,Prix electricite fr,Taux inflation,Smic,Revenu salarial annuel moyen,CPSO,Femmes,Hommes,Popu,Taux chomage,Age Median FR,Age Moyen Fr,Entreprises,Evolution Emploi total,Evolution Emploi salarié privé,Evolution Emploi salarié public,Evolution Emploi non salarié,Crimes pn,Crimes gendarmes,President,Voix_y,Is_President
1973,1,1,AIN,1,73349,53670,52710,960.0,0,LO,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,LCR,Centre gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,OCI,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,MRG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,DVG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,DIVREF,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,UDRURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,RIURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,DIVURP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,RI,Centre,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,CDP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,DIVGAULL,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,0,EXD,Extreme droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,914,DVD,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,1939,PSU,Extreme gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,7901,COM,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,8071,SOC,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,8493,UDR,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,8532,REFRAD,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,1,73349,53670,52710,960.0,16860,CDPURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,LO,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,LCR,Centre gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,OCI,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,MRG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,DVG,Gauche,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,DIVREF,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,UDRURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,CDPURP,Centre droit,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,DIVURP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,UDR,Droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,RI,Centre,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,CDP,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,0,DIVGAULL,Non classes,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
1973,1,1,AIN,2,74850,58217,57209,1008.0,692,EXD,Extreme droite,,,62882.0,48131.0,14751.0,,,,,,,,,,,,,,,,,,,,,,False
